Marketing Theory,Q1
Poetics,Q1
Speculum,Q1
Digital Humanities Quarterly,Q1
Library Leadership and Management,Q4
Big Data & Society,Q1
European Journal of Social Theory,Q2
ACM Journal on Computing and Cultural Heritage,Q1
Journal of Cultural Analytics,NA
Digital Medievalist,NA
Digital Culture and Society,NA  
Digital Journalism,Q2
"Information, Communication & Society",Q1
International Journal of Communication,Q1
Journal of Documentation,Q1
Journal of Archival Organisation,Q3
Journal of Memory Studies,Q1
GeoHumanities,Q1
Journal of Data Mining and Digital Humanities,NA
Journal of Computer Mediated Communications,Q1
Journal of Consumer Culture,Q1
New Media and Society,Q1
Social Media and Society,Q1
Library Hi Tech,Q1
Computers in Human Behaviour,Q1
